TimeStamp, Open, Close, High, Low, Volume, BaseVolume
5/18/2017 2:58:00 AM,0.00061009,0.00061017,0.00199911,0.00061009,23907.75032918,25.65598776
5/18/2017 2:59:00 AM,0.00199911,0.00061022,0.00199911,0.00061022,13306.95938264,17.36112412
5/18/2017 3:00:00 AM,0.00199901,0.00199901,0.00199901,0.00061029,307.67058941,0.42957238
5/18/2017 3:27:00 AM,0.00100007,0.00199911,0.00199911,0.00100007,15599.52236949,20.79977824
5/18/2017 3:28:00 AM,0.00100007,0.00100007,0.00199911,0.00100007,27788.72601067,41.66521282
5/18/2017 3:29:00 AM,0.00199911,0.00199901,0.00199911,0.00100007,7408.13128229,11.16892242
5/18/2017 3:30:00 AM,0.00100007,0.00199901,0.00199901,0.00100007,313.01263676,0.41695399
5/18/2017 3:34:00 AM,0.00100007,0.00199881,0.00199881,0.00100007,47259.06908394,68.06677495
5/18/2017 3:35:00 AM,0.00100007,0.00199879,0.00199881,0.00100007,4043.12353604,5.38553447
5/18/2017 3:47:00 AM,0.00199891,0.00199891,0.00199891,0.00199891,11224.29542621,22.43635637
5/18/2017 3:48:00 AM,0.00063003,0.00199891,0.00199891,0.00063003,22476.7217437,29.5258155
5/18/2017 3:49:00 AM,0.00063009,0.00199891,0.00199891,0.00063009,31802.0760591,36.05280607
5/18/2017 3:50:00 AM,0.00063017,0.00063022,0.00199881,0.00063017,4546.02593017,4.06416072
5/18/2017 3:54:00 AM,0.00199878,0.00199901,0.00199901,0.00199878,708.67145991,1.41664024
5/18/2017 3:55:00 AM,0.00199901,0.00199995,0.00199995,0.00199901,1496.87296493,2.99336859
5/18/2017 3:58:00 AM,0.00199991,0.00199991,0.00199991,0.00056899,49940.6571899,68.46850258
5/18/2017 3:59:00 AM,0.00056899,0.00056901,0.00199991,0.00056899,29645.48187684,26.2061418
5/18/2017 4:00:00 AM,0.00199991,0.00056901,0.00199991,0.00056901,48.8200065,0.06270733
5/18/2017 4:08:00 AM,0.00199981,0.00056907,0.00199981,0.00056907,10297.43462124,13.22643691
5/18/2017 4:09:00 AM,0.00199971,0.00199959,0.00199971,0.00056907,4062.96106106,5.22026789
5/18/2017 4:16:00 AM,0.00199951,0.00199947,0.00199951,0.00056915,9057.46243805,11.64777111
5/18/2017 4:17:00 AM,0.00056915,0.00199947,0.00199947,0.00056915,34.54070277,0.03056356
5/18/2017 4:41:00 AM,0.00194998,0.00199911,0.00199911,0.00194996,38276.79715927,75.01330004
5/18/2017 4:42:00 AM,0.00102011,0.001991,0.001991,0.00102011,3710.37330986,5.00137859
5/18/2017 4:43:00 AM,0.00102011,0.0011,0.001991,0.00102011,2906.5381615,3.90530295
5/18/2017 4:44:00 AM,0.0011,0.00110002,0.00110002,0.0011,56.2404529,0.06186476
5/18/2017 4:59:00 AM,0.00197911,0.00110011,0.00197911,0.00110011,29955.46290434,46.11972337
5/18/2017 5:00:00 AM,0.00197911,0.00198,0.00198,0.00110011,2729.65660082,4.73450985
5/18/2017 9:05:00 AM,0.00195,0.00195,0.00195,0.00195,101.00960101,0.19696872
